candle_begin_time,涨跌幅
2021-01-31,20.34%
2021-02-28,26.98%
2021-03-31,40.72%
2021-04-30,13.95%
2021-05-31,23.4%
2021-06-30,22.37%
2021-07-31,14.87%
2021-08-31,2.6%
2021-09-30,6.24%
2021-10-31,10.82%
2021-11-30,13.74%
2021-12-31,10.57%
2022-01-31,26.95%
2022-02-28,7.98%
2022-03-31,9.93%
2022-04-30,15.27%
2022-05-31,2.46%
2022-06-30,20.72%
2022-07-31,-0.74%
2022-08-31,8.75%
2022-09-30,-5.84%
2022-10-31,2.54%
2022-11-30,-1.38%
2022-12-31,8.85%
2023-01-31,4.52%
2023-02-28,6.54%
2023-03-31,7.52%
2023-04-30,-6.72%
2023-05-31,9.48%
2023-06-30,8.16%
2023-07-31,-7.54%
2023-08-31,14.23%
2023-09-30,11.41%
2023-10-31,5.2%
2023-11-30,1.3%
2023-12-31,19.84%
2024-01-31,4.77%
2024-02-29,-2.79%
2024-03-31,1.79%
2024-04-30,7.19%
2024-05-31,-0.08%
2024-06-30,8.59%
2024-07-31,-1.35%
2024-08-31,21.44%
2024-09-30,10.12%
2024-10-31,8.29%
2024-11-30,-4.72%
2024-12-31,20.17%
2025-01-31,17.24%
2025-02-28,20.87%
2025-03-31,11.93%
2025-04-30,28.93%
2025-05-31,-4.75%
2025-06-30,10.41%
2025-07-31,-0.8%
2025-08-31,37.36%
2025-09-30,26.18%
2025-10-31,28.48%
2025-11-30,20.14%
2025-12-31,-9.18%
2026-01-31,12.25%
