short_n,long_n,Total Return,Sharpe Ratio,Max Drawdown
10,100,-0.9992,-1.48,-0.9997
10,150,-0.9899,-0.88,-0.9961
10,200,-0.9804,-0.73,-0.9932
10,250,-0.9678,-0.62,-0.9902
10,300,-0.9422,-0.48,-0.9854
10,350,-0.8283,-0.21,-0.9673
10,400,-0.6052000000000001,0.0,-0.9373999999999999
10,450,-0.31629999999999997,0.14,-0.8929
10,500,-0.2281,0.17,-0.862
20,100,-0.9911,-0.91,-0.9965999999999999
20,150,-0.9205,-0.37,-0.9756
20,200,-0.9190999999999999,-0.39,-0.9754999999999999
20,250,-0.8879,-0.33,-0.975
20,300,-0.8959,-0.35,-0.9712000000000001
20,350,-0.77,-0.13,-0.9539
20,400,-0.0342,0.23,-0.8729
20,450,0.5017,0.34,-0.8084
20,500,1.1889,0.43,-0.8229000000000001
30,100,-0.9868000000000001,-0.81,-0.9948999999999999
30,150,-0.8162999999999999,-0.17,-0.9562999999999999
30,200,-0.9306,-0.43,-0.9773000000000001
30,250,-0.7767000000000001,-0.16,-0.9445
30,300,-0.7972,-0.18,-0.9417
30,350,-0.006,0.23,-0.8534
30,400,1.9150999999999998,0.51,-0.7595999999999999
30,450,1.8085,0.5,-0.7729
30,500,2.5731,0.56,-0.8003
40,100,-0.9787,-0.7,-0.9929000000000001
40,150,-0.9086,-0.37,-0.9729000000000001
40,200,-0.816,-0.19,-0.9393
40,250,-0.6889,-0.07,-0.9152
40,300,-0.23170000000000002,0.17,-0.8843000000000001
40,350,0.5607,0.35,-0.7955
40,400,2.0823,0.52,-0.7126
40,450,3.1631,0.6,-0.7562000000000001
40,500,3.1460000000000004,0.6,-0.7447
50,100,-0.9875,-0.83,-0.9954000000000001
50,150,-0.9278,-0.43,-0.9781
50,200,-0.8533,-0.25,-0.9436
50,250,-0.37920000000000004,0.12,-0.8753
50,300,-0.1916,0.18,-0.8701000000000001
50,350,0.9606,0.41,-0.7731
50,400,1.9159,0.51,-0.747
50,450,3.0386,0.59,-0.738
50,500,4.3586,0.66,-0.7509
60,100,-0.9873000000000001,-0.83,-0.9948
60,150,-0.9375,-0.46,-0.9795999999999999
60,200,-0.8197,-0.2,-0.9369
60,250,-0.1207,0.2,-0.8609
60,300,-0.29350000000000004,0.15,-0.8729
60,350,0.7056999999999999,0.37,-0.8107
60,400,1.6743999999999999,0.48,-0.7338
60,450,2.2634,0.54,-0.7592
60,500,4.5488,0.67,-0.7615000000000001
70,100,-0.9951000000000001,-1.07,-0.9981
70,150,-0.9168000000000001,-0.37,-0.9708
70,200,-0.6570999999999999,-0.04,-0.9194
70,250,-0.2811,0.15,-0.8768
70,300,-0.2655,0.16,-0.8583
70,350,0.44270000000000004,0.33,-0.7885
70,400,1.615,0.48,-0.7323000000000001
70,450,2.6107,0.56,-0.7282
70,500,4.4029,0.66,-0.7077
80,100,-0.9991,-1.47,-0.9995999999999999
80,150,-0.9505,-0.5,-0.9818000000000001
80,200,-0.8151999999999999,-0.19,-0.9354
80,250,-0.4863,0.07,-0.87
80,300,-0.3118,0.14,-0.857
80,350,1.1161,0.43,-0.7811
80,400,2.1405000000000003,0.53,-0.7622
80,450,3.4518,0.61,-0.6773
80,500,4.4979000000000005,0.67,-0.7145999999999999
90,100,-0.9998,-1.84,-0.9998999999999999
90,150,-0.9183,-0.36,-0.9737
90,200,-0.456,0.09,-0.8771
90,250,-0.4227,0.1,-0.8345
90,300,-0.43979999999999997,0.09,-0.8695999999999999
90,350,1.0368000000000002,0.42,-0.7879999999999999
90,400,2.2388999999999997,0.53,-0.7422
90,450,4.0512,0.65,-0.7049
90,500,4.1117,0.65,-0.7345
100,150,-0.9462,-0.47,-0.978
100,200,-0.7353000000000001,-0.1,-0.9041
100,250,-0.5316,0.05,-0.8786
100,300,0.0225,0.24,-0.8633
100,350,1.6159000000000001,0.48,-0.75
100,400,2.1782,0.53,-0.7734000000000001
100,450,2.6456,0.56,-0.7191
100,500,2.8773,0.58,-0.7656000000000001
